,City,Building,Furnace_id,num_Furnace_modules,PM_id,num_CHP_modules,oversize_ratio_electricity,oversize_ratio_heat
77,albuquerque,large_office,None,0,MT1,42,1.0881035521784097,1.2517930173494118
78,albuquerque,large_office,None,0,MT2,22,1.234911174297719,1.2814028117218226
79,albuquerque,large_office,None,0,MT3,10,1.7271484955212855,1.2520652054375505
80,albuquerque,large_office,None,0,MT4,7,1.5112549335811247,1.2496197655831804
81,albuquerque,large_office,None,0,MT5,6,1.725421347025764,1.286047313196398
82,albuquerque,large_office,None,0,MT6,2,1.7271484955212855,1.2520652054375505
83,albuquerque,large_office,None,0,FC1,2721,1.644849869709696,1.243507339758385
84,albuquerque,large_office,None,0,FC2,5043,6.532507397185381,1.2435270665411182
85,albuquerque,large_office,None,0,FC3,13,3.3679395662665064,1.3300856865226516
86,albuquerque,large_office,None,0,FC4,5,1.7271484955212855,1.2520652054375505
87,albuquerque,large_office,None,0,FC5,3,3.627011840594699,1.7772369999405229
88,albuquerque,medium_office,None,0,RE1,3,2.297858724648466,1.7522313600032084
89,albuquerque,medium_office,None,0,RE2,1,4.848481909008263,2.4174053416659644
90,albuquerque,medium_office,None,0,RE3,1,8.5863321011031,3.7519407896158588
91,albuquerque,medium_office,None,0,RE4,1,25.467934198187162,9.34385637963975
92,albuquerque,medium_office,None,0,RE5,1,71.54766115647107,23.382275905414243
93,albuquerque,medium_office,None,0,GT1,1,26.923244723797858,18.052514640860643
94,albuquerque,medium_office,None,0,GT2,1,35.23383377794314,23.624912474526017
95,albuquerque,medium_office,None,0,GT3,1,61.008149139416766,33.89441247160492
96,albuquerque,medium_office,None,0,GT4,1,86.93565508253361,48.29900584465987
97,albuquerque,medium_office,None,0,GT5,1,166.55645989160297,71.97095618839846
98,albuquerque,medium_office,None,0,GT6,1,329.8882580396159,124.55694092695428
99,albuquerque,medium_office,None,0,MT1,13,2.9872163420430056,1.2470439913803082
100,albuquerque,medium_office,None,0,MT2,7,3.4850857323835065,1.312248905962285
101,albuquerque,medium_office,None,0,MT3,4,6.127623265729242,1.6119149590022952
102,albuquerque,medium_office,None,0,MT4,3,5.744646811621164,1.7236785938549932
103,albuquerque,medium_office,None,0,MT5,2,5.101246368719594,1.3797197443093943
104,albuquerque,medium_office,None,0,MT6,1,7.659529082161552,2.0148936987528687
105,albuquerque,medium_office,None,0,FC1,846,4.53597312245607,1.2443580504757965
106,albuquerque,medium_office,None,0,FC2,1567,18.00372310762073,1.243627905183666
107,albuquerque,medium_office,None,0,FC3,4,9.191434898593863,1.317199164259338
108,albuquerque,medium_office,None,0,FC4,2,6.127623265729242,1.6119149590022952
109,albuquerque,medium_office,None,0,FC5,1,10.723340715026174,1.906686444560585
110,albuquerque,midrise_apartment,None,0,RE1,1,2.367677130487213,2.576051479971993
111,albuquerque,midrise_apartment,None,0,RE2,1,14.98739623598406,10.661880759991774
112,albuquerque,midrise_apartment,None,0,RE3,1,26.541660632761662,16.547802152975148
113,albuquerque,midrise_apartment,None,0,RE4,1,78.72526458869984,41.21074808643874
114,albuquerque,midrise_apartment,None,0,RE5,1,221.16472075881057,103.12670089036452
115,albuquerque,midrise_apartment,None,0,GT1,1,83.22385113662554,79.61997733744472
116,albuquerque,midrise_apartment,None,0,GT2,1,108.9131480024118,104.19684089679821
117,albuquerque,midrise_apartment,None,0,GT3,1,188.58548344330654,149.49010741954618
