,electricity_demand,cooling_demand,heat_demand,total_electricity_demand,total_heat_demand,electricity_cooling,heat_cooling,electricity_CHP,electricity_PV,electricity_BES_in,electricity_BES_out,electricity_Grid,heat_Furnace,heat_CHP,fuel_CHP,PM_id,year
118,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9237037.32629778,0,0,0,0.0,0,247306.62729157144,5016918.72210892,RE4,2050
119,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9237037.32629778,0,0,0,0.0,0,247306.62729157144,5016918.72210892,RE4,2050
120,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9237037.32629778,0,0,0,0.0,0,247306.62729157144,5016918.72210892,RE4,2050
121,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9237037.32629778,0,0,0,0.0,0,247306.62729157144,5016918.72210892,RE4,2050
122,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9237037.32629778,0,0,0,0.0,0,247306.62729157144,5016918.72210892,RE4,2050
123,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9237037.32629778,0,0,0,0.0,0,247306.62729157144,5016918.72210892,RE4,2050
124,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
125,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
126,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
127,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
128,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
129,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
130,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
131,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
132,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
133,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
134,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
135,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
136,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
137,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
138,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
139,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
140,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
141,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
142,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
143,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,25381208.979522787,0,0,0,0.0,0,247306.62729157144,12688936.337600177,RE5,2050
