CT_id,manufacturer,model,capacity_ton,capacity_kW,fan_motor_hp,hp_per_fan,num_fan,total_fan_hp,total_fan_kW,airflow_cfm,airflow_kg_per_hour,water_flow_gpm,waterflow_kg_per_hour,LG_ratio
CT657,EVAPCO,AT 212-3J28,810,3561,(2) 15,15,2,30,22.37103101,174000,332166.16,2430,551913.0381,1.661557112
CT658,EVAPCO,AT 212-3K28,877,3855,(2) 20,20,2,40,29.82804134,190700,364046.47,2631,597565.1042,1.641452816
CT659,EVAPCO,AT 212-3L28,942,4141,(2) 25,25,2,50,37.28505168,204500,390390.68,2826,641854.4221,1.644133557
CT660,EVAPCO,AT 212-3M28,"1,002",4405,(2) 30,30,2,60,44.74206201,216500,413298.69,3006,682736.8694,1.651921189
CT661,EVAPCO,AT 212-3N28,"1,097",4822,(2) 40,40,2,80,59.65608268,237100,452624.11,3291,747467.4109,1.651408732
CT662,EVAPCO,AT 212-4I28,741,3257,(2) 10,10,2,20,14.91402067,150600,287495.53,2223,504898.2237,1.756195012
CT663,EVAPCO,AT 212-4J28,853,3750,(2) 15,15,2,30,22.37103101,171200,326820.95,2559,581212.1253,1.778380853
CT664,EVAPCO,AT 212-4K28,921,4049,(2) 20,20,2,40,29.82804134,187600,358128.57,2763,627545.5656,1.752291278
CT665,EVAPCO,AT 212-4L28,987,4339,(2) 25,25,2,50,37.28505168,201200,384090.98,2961,672516.2575,1.750929579
CT666,EVAPCO,AT 212-4M28,"1,049",4611,(2) 30,30,2,60,44.74206201,213000,406617.19,3147,714761.4531,1.757823993
CT667,EVAPCO,AT 212-4N28,"1,147",5042,(2) 40,40,2,80,59.65608268,232900,444606.31,3441,781536.1169,1.757816078
CT668,EVAPCO,AT 312-2I42,910,4000,(3) 10,10,3,30,22.37103101,235500,449569.71,2730,620050.4502,1.379208687
CT669,EVAPCO,AT 312-2J42,"1,091",4796,(3) 15,15,3,45,33.55654651,267800,511230.44,3273,743379.1661,1.454098013
CT670,EVAPCO,AT 312-2K42,"1,195",5253,(3) 20,20,3,60,44.74206201,293600,560482.66,3585,814242.0747,1.452751582
CT671,EVAPCO,AT 312-2L42,"1,289",5667,(3) 25,25,3,75,55.92757752,315200,601717.08,3867,878291.2421,1.459641531
CT672,EVAPCO,AT 312-2M42,"1,366",6005,(3) 30,30,3,90,67.11309302,334000,637606.3,4098,930757.0494,1.459767652
CT673,EVAPCO,AT 312-3I42,"1,045",4594,(3) 10,10,3,30,22.37103101,231900,442697.31,3135,712035.9566,1.608403631
CT674,EVAPCO,AT 312-3J42,"1,229",5403,(3) 15,15,3,45,33.55654651,263400,502830.84,3687,837408.7949,1.665388707
CT675,EVAPCO,AT 312-3K42,"1,330",5847,(3) 20,20,3,60,44.74206201,288500,550746.76,3990,906227.5811,1.645452412
CT676,EVAPCO,AT 312-3L42,"1,428",6278,(3) 25,25,3,75,55.92757752,309500,590835.78,4284,973002.245,1.646823506
CT677,EVAPCO,AT 312-3M42,"1,519",6678,(3) 30,30,3,90,67.11309302,327600,625388.69,4557,1035007.29,1.654982416
CT678,EVAPCO,AT 312-3N42,"1,662",7306,(3) 40,40,3,120,89.48412402,358900,685140.42,4986,1132443.789,1.652863785
CT679,EVAPCO,AT 312-4I42,"1,123",4937,(3) 10,10,3,30,22.37103101,227900,435061.3,3369,765183.138,1.758793833
CT680,EVAPCO,AT 312-4J42,"1,293",5684,(3) 15,15,3,45,33.55654651,259100,494622.13,3879,881016.7386,1.781191504
CT681,EVAPCO,AT 312-4K42,"1,395",6133,(3) 20,20,3,60,44.74206201,284000,542156.25,4185,950516.899,1.753215779
CT682,EVAPCO,AT 312-4L42,"1,495",6572,(3) 25,25,3,75,55.92757752,304600,581481.67,4485,1018654.311,1.751825311
CT683,EVAPCO,AT 312-4M42,"1,589",6985,(3) 30,30,3,90,67.11309302,322400,615461.89,4767,1082703.478,1.759172256
CT684,EVAPCO,AT 312-4N42,"1,738",7640,(3) 40,40,3,120,89.48412402,352500,672922.82,5214,1184228.223,1.759827719
CT685,EVAPCO,AT 424-2I28,"1,159",5095,(4) 10,10,4,40,29.82804134,299400,571554.87,3477,789712.6064,1.381691682
CT686,EVAPCO,AT 424-2J28,"1,405",6176,(4) 15,15,4,60,44.74206201,340300,649633,4215,957330.6402,1.473648405
CT687,EVAPCO,AT 424-2K28,"1,564",6875,(4) 20,20,4,80,59.65608268,372900,711866.43,4692,1065669.125,1.497007129
CT688,EVAPCO,AT 424-2L28,"1,689",7425,(4) 25,25,4,100,74.57010335,400300,764173.06,5067,1150840.891,1.505995113
CT689,EVAPCO,AT 424-2M28,"1,838",8080,(4) 30,30,4,120,89.48412402,423700,808843.68,5514,1252365.635,1.548340758
CT690,EVAPCO,AT 424-3I28,"1,322",5812,(4) 10,10,4,40,29.82804134,294900,562964.36,3966,900776.5881,1.600059695
CT691,EVAPCO,AT 424-3J28,"1,563",6871,(4) 15,15,4,60,44.74206201,335100,639706.2,4689,1064987.751,1.664807613
CT692,EVAPCO,AT 424-3K28,"1,745",7671,(4) 20,20,4,80,59.65608268,366600,699839.73,5235,1188997.841,1.698957339
CT693,EVAPCO,AT 424-3L28,"1,873",8234,(4) 25,25,4,100,74.57010335,393200,750619.15,5619,1276213.729,1.700214718
CT694,EVAPCO,AT 424-3M28,"1,993",8761,(4) 30,30,4,120,89.48412402,416200,794526.17,5979,1357978.623,1.709167893
CT695,EVAPCO,AT 424-3N28,"2,199",9667,(4) 40,40,4,160,119.3121654,455600,869740.81,6597,1498341.692,1.722745075
