PM_id,alpha_CHP,beta_ABC,energy_demand_int,percent_change_co2_int,percent_change_n2o_int,percent_change_ch4_int,percent_change_co_int,percent_change_nox_int,percent_change_pm_int,percent_change_so2_int,percent_change_voc_int,percent_change_GHG_int_100,percent_change_GHG_int_20,percent_change_NG_int,percent_change_TFCE,CHP_efficiency
MT5,1.0,1.0,348.1063029695699,26.646647429172653,-94.97042402255784,42.33537163780124,-66.40878018034837,-46.90741273442879,-93.31793514505142,-98.1603705664579,227.19425946360897,30.43797881849561,34.41084624438706,38.58287347593185,28.570152109663216,0.7460000000000018
MT6,1.0,0.0,348.1063029695699,17.64397110934394,-237.68237144726658,47.796087845308044,-198.44966749416648,-190.577312548186,-139.43056390115845,-105.65507447141712,328.10961858965385,24.913336722004846,32.54494781971623,44.01509055194969,13.105370330836239,0.6979999999999998
MT6,1.0,1.0,348.1063029695699,28.589976846330856,-88.38676643575148,48.637172075479256,-49.78189563626594,-68.04107007335168,-91.05759841187417,-97.78154912196192,338.951253931971,33.471603638474576,38.531115716062935,44.693926471220934,22.381393670164996,0.6979999999999998
None,0.0,1.0,348.1063029695699,27.71168995138451,162.04574324735717,24.91340760954222,172.5328315324282,135.69112856356568,41.09373896774745,-7.5399537241105925,115.59278038952037,27.14249225443494,26.39938237761763,23.613086430256175,21.135199825047952,1.0
RE1,1.0,0.0,348.1063029695699,-12.218878096897393,-330.49803639573855,53.141612432722,-115.68291745345189,-245.8804861765593,-171.58634596200713,-111.09206180530973,916.2813367340201,3.767005748790039,20.21511562552087,49.450464577830125,31.33317799741721,0.8280000000000024
RE1,1.0,1.0,348.1063029695699,-1.748040482264841,-186.77889334676917,47.16922731227266,-8.116404049033164,-132.85909871248688,-124.9826239830223,-103.49156083306123,798.395437566853,10.263155555972224,22.55720320417032,43.47615697664032,36.237644639442095,0.8280000000000024
RE2,1.0,0.0,348.1063029695699,-3.557707117935943,-223.79849871301434,25.784069044546246,-111.6101669562609,-145.4308553134002,-134.63522646751687,-104.84812499515363,997.1249424893094,3.5501431561841734,10.96548098011397,22.59290294402431,28.908382407143442,0.7980000000000016
RE2,1.0,1.0,348.1063029695699,12.100151287031977,-73.36141727315015,31.514085692276687,24.18788029657573,-28.270500209006723,-85.91382914724777,-96.92153949292954,884.2013788221677,16.860091021312577,21.748883275336635,28.022698553917575,36.410308951443554,0.7980000000000016
RE3,1.0,0.0,348.1063029695699,-6.951819158073903,-198.87815392975105,17.191004162850874,-85.35029583880046,-123.93050908594185,-126.0886626074957,-103.41908261923004,752.5639718500283,-1.1109018799917463,4.994876715501825,14.182872893889309,30.877180669529686,0.8060000000000033
RE3,1.0,1.0,348.1063029695699,11.006059581045957,-46.19158123390708,26.267436921714,52.835578325169344,-4.868500904436951,-76.69016450629331,-95.38978009879257,691.1171560827123,14.759598346258178,18.60034257491351,22.871444533856387,38.709192280314326,0.8060000000000033
RE4,1.0,0.0,348.1063029695699,-8.857431047337322,-170.69304890522105,10.31727187130207,-55.63822257203467,-99.64222532151892,-116.50631709827036,-101.82857335089521,773.8224885136877,-4.225433962619755,0.6275672740817774,7.43824298321554,30.21314553647279,0.7949999999999963
RE4,1.0,1.0,348.1063029695699,11.50085124219151,-14.932006007116813,22.78999403320887,85.80558290718568,22.032043368621505,-66.1429448831165,-93.6459641497869,714.635069231423,14.294418631771034,17.131114606209366,19.43436708372418,38.98379336358993,0.7949999999999963
RE5,1.0,0.0,348.1063029695699,-6.972579661684362,-154.583536111759,8.879565706163113,-38.65235422814934,-60.90116625153716,-111.05344377751507,-100.92624711847218,785.9584138939584,-3.1559244462979406,0.861551784032676,6.004940661996502,26.94466896920814,0.7690000000000032
RE5,1.0,1.0,348.1063029695699,14.156485146503266,2.828531405672575,22.893649088491724,104.55118955885185,57.39603758480826,-60.219078524707484,-92.67261657153135,727.9484201462625,16.3276162644705,18.521085973932262,19.504341311159767,36.887097209893746,0.7690000000000032
