,Qe,T_db,Patm,RH,Qfrac,Qheat_kW,Welec_kW,makeup_water_kg_per_s
4963,100.0,20.0,100.7,0.78,1,145,84.61,0.07895
4964,100.0,20.0,100.8,0.78,1,145,84.61,0.07893
4965,100.0,20.0,100.8,0.81,1,145,84.61,0.07772
4966,100.0,20.0,100.8,0.84,1,145,84.61,0.07652
4967,100.0,20.0,100.8,0.84,1,145,84.61,0.07652
4968,100.0,20.0,100.8,0.87,1,145,84.61,0.07534
4969,100.0,19.4,100.8,0.9,1,145,84.61,0.0736
4970,100.0,18.9,100.8,0.9,1,145,84.61,0.0731
4971,100.0,19.4,100.8,0.9,1,145,84.61,0.0736
4972,100.0,19.0,100.8,0.88,1,145,84.61,0.07395
4973,100.0,19.4,100.8,0.9,1,145,84.61,0.0736
4974,100.0,20.6,100.9,0.84,1,145,84.61,0.07712
4975,100.0,21.1,101.0,0.81,1,145,84.61,0.07884
4976,100.0,21.7,101.0,0.76,1,145,84.61,0.08159
4977,100.0,21.7,101.0,0.76,1,145,84.61,0.08159
4978,100.0,22.8,101.0,0.73,1,145,84.61,0.08411
4979,100.0,22.8,101.0,0.73,1,145,84.61,0.08411
4980,100.0,23.3,101.0,0.71,1,145,84.61,0.08557
4981,100.0,22.8,101.0,0.73,1,145,84.61,0.08411
4982,100.0,23.3,100.9,0.71,1,145,84.61,0.08559
4983,100.0,22.8,100.9,0.73,1,145,84.61,0.08413
4984,100.0,22.8,100.9,0.71,1,145,84.61,0.08505
4985,100.0,21.1,100.9,0.81,1,145,84.61,0.07886
4986,100.0,20.0,100.9,0.84,1,145,84.61,0.0765
4987,100.0,20.0,100.9,0.78,1,145,84.61,0.07891
4988,100.0,20.0,101.0,0.76,1,145,84.61,0.07971
4989,100.0,20.0,101.0,0.78,1,145,84.61,0.07889
4990,100.0,19.4,101.0,0.87,1,145,84.61,0.0747
4991,100.0,18.9,101.0,0.9,1,145,84.61,0.07306
4992,100.0,18.9,101.0,0.87,1,145,84.61,0.07419
4993,100.0,18.9,100.9,0.87,1,145,84.61,0.0742
4994,100.0,18.9,100.9,0.87,1,145,84.61,0.0742
4995,100.0,18.9,101.0,0.9,1,145,84.61,0.07306
4996,100.0,18.9,101.0,0.9,1,145,84.61,0.07306
4997,100.0,19.4,101.1,0.9,1,145,84.61,0.07354
4998,100.0,20.6,101.1,0.84,1,145,84.61,0.07708
4999,100.0,21.1,101.1,0.81,1,145,84.61,0.07882
5000,100.0,22.8,101.1,0.73,1,145,84.61,0.08409
5001,100.0,22.8,101.1,0.73,1,145,84.61,0.08409
5002,100.0,22.8,101.1,0.73,1,145,84.61,0.08409
5003,100.0,22.8,101.1,0.71,1,145,84.61,0.08501
5004,100.0,22.8,101.0,0.71,1,145,84.61,0.08503
5005,100.0,22.8,101.0,0.71,1,145,84.61,0.08503
5006,100.0,22.8,101.0,0.68,1,145,84.61,0.08642
5007,100.0,22.2,100.9,0.71,1,145,84.61,0.08438
5008,100.0,21.7,101.0,0.73,1,145,84.61,0.0829
5009,100.0,20.0,101.0,0.81,1,145,84.61,0.07768
5010,100.0,19.4,101.0,0.81,1,145,84.61,0.07703
5011,100.0,19.4,101.0,0.81,1,145,84.61,0.07703
5012,100.0,18.9,101.0,0.84,1,145,84.61,0.07533
5013,100.0,18.9,101.0,0.87,1,145,84.61,0.07419
5014,100.0,19.4,101.0,0.84,1,145,84.61,0.07586
5015,100.0,19.4,101.0,0.79,1,145,84.61,0.07783
5016,100.0,18.9,100.9,0.84,1,145,84.61,0.07535
5017,100.0,18.9,100.9,0.87,1,145,84.61,0.0742
5018,100.0,18.3,100.9,0.9,1,145,84.61,0.07247
5019,100.0,18.3,100.8,0.9,1,145,84.61,0.07249
5020,100.0,18.3,100.8,0.9,1,145,84.61,0.07249
5021,100.0,18.3,100.9,0.9,1,145,84.61,0.07247
5022,100.0,19.4,100.9,0.84,1,145,84.61,0.07588
5023,100.0,20.6,101.0,0.78,1,145,84.61,0.07955
5024,100.0,21.7,100.9,0.73,1,145,84.61,0.08292
5025,100.0,21.7,100.9,0.76,1,145,84.61,0.08161
5026,100.0,21.7,100.9,0.73,1,145,84.61,0.08292
5027,100.0,21.1,100.9,0.76,1,145,84.61,0.08096
5028,100.0,22.2,100.9,0.71,1,145,84.61,0.08438
5029,100.0,21.1,100.9,0.76,1,145,84.61,0.08096
5030,100.0,21.1,100.9,0.76,1,145,84.61,0.08096
5031,100.0,21.7,100.8,0.73,1,145,84.61,0.08294
5032,100.0,21.1,100.8,0.76,1,145,84.61,0.08098
5033,100.0,20.0,100.7,0.81,1,145,84.61,0.07774
5034,100.0,18.9,100.7,0.84,1,145,84.61,0.07539
5035,100.0,18.3,100.7,0.9,1,145,84.61,0.07251
5036,100.0,18.3,100.8,0.9,1,145,84.61,0.07249
5037,100.0,18.3,100.8,0.9,1,145,84.61,0.07249
5038,100.0,18.3,100.8,0.9,1,145,84.61,0.07249
5039,100.0,17.8,100.8,0.9,1,145,84.61,0.07198
5040,100.0,17.8,100.8,0.9,1,145,84.61,0.07198
