,Qe,T_db,Patm,RH,Qfrac,Qheat_kW,Welec_kW,makeup_water_kg_per_s
169,100.0,14.4,101.6,0.97,1,145,84.61,0.06594
170,100.0,13.9,101.6,0.97,1,145,84.61,0.06542
171,100.0,13.9,101.6,0.97,1,145,84.61,0.06542
172,100.0,13.9,101.6,0.97,1,145,84.61,0.06542
173,100.0,14.4,101.6,0.93,1,145,84.61,0.06721
174,100.0,14.4,101.7,0.93,1,145,84.61,0.06719
175,100.0,14.4,101.7,0.93,1,145,84.61,0.06719
176,100.0,14.4,101.8,0.93,1,145,84.61,0.06717
177,100.0,15.0,101.9,0.87,1,145,84.61,0.06977
178,100.0,15.6,101.8,0.84,1,145,84.61,0.0715
179,100.0,16.7,101.7,0.78,1,145,84.61,0.07494
180,100.0,16.1,101.6,0.78,1,145,84.61,0.07424
181,100.0,17.2,101.5,0.73,1,145,84.61,0.07746
182,100.0,17.2,101.5,0.7,1,145,84.61,0.07861
183,100.0,17.2,101.4,0.7,1,145,84.61,0.07863
184,100.0,17.2,101.4,0.73,1,145,84.61,0.07748
185,100.0,16.1,101.4,0.78,1,145,84.61,0.07428
186,100.0,16.1,101.4,0.78,1,145,84.61,0.07428
187,100.0,15.6,101.4,0.78,1,145,84.61,0.07367
188,100.0,15.0,101.4,0.81,1,145,84.61,0.0719
189,100.0,15.0,101.4,0.81,1,145,84.61,0.0719
190,100.0,14.4,101.3,0.84,1,145,84.61,0.0702
191,100.0,14.4,101.2,0.84,1,145,84.61,0.07022
192,100.0,14.4,101.2,0.84,1,145,84.61,0.07022
193,100.0,14.4,101.1,0.87,1,145,84.61,0.06925
194,100.0,14.4,101.0,0.9,1,145,84.61,0.06829
195,100.0,13.9,100.9,0.97,1,145,84.61,0.06555
196,100.0,14.4,100.8,0.97,1,145,84.61,0.0661
197,100.0,15.0,100.9,0.97,1,145,84.61,0.0667
198,100.0,15.0,100.9,0.97,1,145,84.61,0.0667
199,100.0,16.1,101.0,0.97,1,145,84.61,0.06779
200,100.0,16.7,101.0,0.97,1,145,84.61,0.06839
201,100.0,13.9,101.1,0.9,1,145,84.61,0.06771
202,100.0,12.8,101.2,0.9,1,145,84.61,0.06644
203,100.0,12.8,101.2,0.87,1,145,84.61,0.06736
204,100.0,13.3,101.1,0.83,1,145,84.61,0.06924
205,100.0,13.3,101.1,0.75,1,145,84.61,0.07183
206,100.0,12.8,101.1,0.72,1,145,84.61,0.07214
207,100.0,14.4,101.1,0.65,1,145,84.61,0.07675
208,100.0,13.3,101.1,0.62,1,145,84.61,0.0762
209,100.0,11.1,101.2,0.69,1,145,84.61,0.07069
210,100.0,10.0,101.2,0.71,1,145,84.61,0.06852
211,100.0,8.3,101.3,0.8,1,145,84.61,0.06365
212,100.0,7.8,101.4,0.83,1,145,84.61,0.06218
213,100.0,7.2,101.5,0.86,1,145,84.61,0.06062
214,100.0,6.7,101.5,0.89,1,145,84.61,0.05924
215,100.0,6.7,101.5,0.86,1,145,84.61,0.05997
216,100.0,6.7,101.5,0.86,1,145,84.61,0.05997
217,100.0,6.7,101.5,0.83,1,145,84.61,0.0607
218,100.0,6.1,101.5,0.86,1,145,84.61,0.05918
219,100.0,6.1,101.5,0.89,1,145,84.61,0.05847
220,100.0,6.7,101.6,0.83,1,145,84.61,0.06068
221,100.0,6.7,101.7,0.83,1,145,84.61,0.06066
222,100.0,6.7,101.7,0.74,1,145,84.61,0.06288
223,100.0,6.1,101.8,0.71,1,145,84.61,0.06273
224,100.0,7.8,101.8,0.58,1,145,84.61,0.0687
225,100.0,7.2,102.0,0.54,1,145,84.61,0.06874
226,100.0,7.8,101.9,0.54,1,145,84.61,0.06977
227,100.0,8.3,101.9,0.46,1,145,84.61,0.07287
228,100.0,9.4,101.7,0.41,1,145,84.61,0.0764
229,100.0,10.6,101.7,0.35,1,145,84.61,0.08056
230,100.0,11.1,101.7,0.35,1,145,84.61,0.08152
231,100.0,11.1,101.7,0.37,1,145,84.61,0.08085
232,100.0,10.6,101.7,0.43,1,145,84.61,0.07794
233,100.0,9.4,101.8,0.48,1,145,84.61,0.07424
234,100.0,8.3,101.9,0.52,1,145,84.61,0.07116
235,100.0,8.3,102.0,0.42,1,145,84.61,0.074
236,100.0,6.7,102.0,0.47,1,145,84.61,0.06975
237,100.0,4.4,102.1,0.65,1,145,84.61,0.0615
238,100.0,2.8,102.2,0.76,1,145,84.61,0.05669
239,100.0,3.3,102.2,0.67,1,145,84.61,0.05934
240,100.0,2.8,102.3,0.67,1,145,84.61,0.05855
241,100.0,1.1,102.4,0.79,1,145,84.61,0.05362
242,100.0,1.1,102.4,0.76,1,145,84.61,0.05419
243,100.0,0.0,102.4,0.82,1,145,84.61,0.05151
244,100.0,-0.6,102.4,0.85,1,145,84.61,0.05004
245,100.0,-0.6,102.5,0.82,1,145,84.61,0.05055
246,100.0,-1.1,102.6,0.82,1,145,84.61,0.04975
247,100.0,-1.1,102.7,0.82,1,145,84.61,0.04973
248,100.0,1.1,102.8,0.76,1,145,84.61,0.0541
249,100.0,3.9,102.9,0.57,1,145,84.61,0.06232
250,100.0,5.6,102.8,0.49,1,145,84.61,0.0671
251,100.0,7.2,102.8,0.44,1,145,84.61,0.07123
252,100.0,8.3,102.7,0.41,1,145,84.61,0.07409
253,100.0,10.0,102.6,0.36,1,145,84.61,0.07882
254,100.0,10.6,102.5,0.34,1,145,84.61,0.08065
255,100.0,11.1,102.5,0.28,1,145,84.61,0.08367
256,100.0,10.6,102.5,0.3,1,145,84.61,0.08198
257,100.0,6.7,102.5,0.49,1,145,84.61,0.06909
258,100.0,3.9,102.6,0.7,1,145,84.61,0.0595
259,100.0,2.8,102.6,0.79,1,145,84.61,0.05598
260,100.0,2.2,102.6,0.79,1,145,84.61,0.05513
261,100.0,2.2,102.6,0.79,1,145,84.61,0.05513
262,100.0,1.7,102.6,0.85,1,145,84.61,0.05326
263,100.0,1.1,102.6,0.89,1,145,84.61,0.05169
264,100.0,1.1,102.5,0.89,1,145,84.61,0.05172
265,100.0,0.0,102.5,0.92,1,145,84.61,0.04972
266,100.0,0.6,102.5,0.89,1,145,84.61,0.05105
267,100.0,0.0,102.4,0.92,1,145,84.61,0.04974
268,100.0,0.0,102.4,0.92,1,145,84.61,0.04974
269,100.0,0.0,102.4,0.92,1,145,84.61,0.04974
270,100.0,0.6,102.4,0.89,1,145,84.61,0.05107
271,100.0,1.1,102.4,0.89,1,145,84.61,0.05174
272,100.0,6.1,102.4,0.71,1,145,84.61,0.06258
273,100.0,8.3,102.5,0.56,1,145,84.61,0.06988
274,100.0,11.7,102.5,0.42,1,145,84.61,0.08003
275,100.0,12.8,102.4,0.42,1,145,84.61,0.08204
276,100.0,13.9,102.2,0.42,1,145,84.61,0.08407
277,100.0,15.0,102.1,0.41,1,145,84.61,0.08645
278,100.0,14.4,102.0,0.44,1,145,84.61,0.08425
279,100.0,13.9,102.0,0.47,1,145,84.61,0.08226
280,100.0,12.8,102.1,0.53,1,145,84.61,0.07826
281,100.0,11.7,102.0,0.57,1,145,84.61,0.07518
282,100.0,10.6,102.0,0.64,1,145,84.61,0.07129
283,100.0,10.6,102.1,0.64,1,145,84.61,0.07126
284,100.0,10.0,102.0,0.66,1,145,84.61,0.06979
285,100.0,9.4,102.1,0.71,1,145,84.61,0.06745
286,100.0,10.0,102.1,0.69,1,145,84.61,0.06889
287,100.0,9.4,102.0,0.74,1,145,84.61,0.06663
288,100.0,9.4,102.0,0.77,1,145,84.61,0.0658
289,100.0,10.0,102.0,0.71,1,145,84.61,0.06833
290,100.0,9.4,102.0,0.8,1,145,84.61,0.06496
291,100.0,10.0,101.9,0.77,1,145,84.61,0.06663
292,100.0,10.0,102.0,0.74,1,145,84.61,0.06747
293,100.0,10.0,102.0,0.74,1,145,84.61,0.06747
294,100.0,10.0,102.0,0.74,1,145,84.61,0.06747
295,100.0,10.0,102.0,0.71,1,145,84.61,0.06833
296,100.0,10.6,102.0,0.72,1,145,84.61,0.06889
297,100.0,10.6,102.0,0.72,1,145,84.61,0.06889
298,100.0,11.7,102.0,0.69,1,145,84.61,0.07136
299,100.0,11.7,102.0,0.74,1,145,84.61,0.06981
300,100.0,11.7,101.8,0.8,1,145,84.61,0.06802
301,100.0,11.7,101.8,0.83,1,145,84.61,0.06712
302,100.0,12.8,101.6,0.75,1,145,84.61,0.07106
303,100.0,12.8,101.7,0.64,1,145,84.61,0.07464
304,100.0,12.8,101.6,0.67,1,145,84.61,0.07366
305,100.0,12.2,101.6,0.75,1,145,84.61,0.07026
306,100.0,11.7,101.6,0.8,1,145,84.61,0.06806
307,100.0,11.7,101.6,0.8,1,145,84.61,0.06806
308,100.0,11.1,101.6,0.86,1,145,84.61,0.06553
309,100.0,10.6,101.6,0.9,1,145,84.61,0.06378
310,100.0,10.6,101.6,0.93,1,145,84.61,0.06294
311,100.0,10.6,101.5,0.9,1,145,84.61,0.0638
312,100.0,10.6,101.5,0.9,1,145,84.61,0.0638
313,100.0,10.6,101.5,0.93,1,145,84.61,0.06296
314,100.0,10.0,101.3,1.0,1,145,84.61,0.0604
315,100.0,10.6,101.3,0.96,1,145,84.61,0.06216
316,100.0,10.6,101.3,0.96,1,145,84.61,0.06216
317,100.0,10.6,101.2,0.96,1,145,84.61,0.06218
318,100.0,10.6,101.2,1.0,1,145,84.61,0.06108
319,100.0,11.1,101.2,0.96,1,145,84.61,0.06275
320,100.0,11.7,101.3,0.96,1,145,84.61,0.0634
321,100.0,12.2,101.2,0.96,1,145,84.61,0.06397
322,100.0,12.8,101.2,0.97,1,145,84.61,0.06432
323,100.0,13.9,101.1,0.93,1,145,84.61,0.06676
324,100.0,14.4,101.1,0.97,1,145,84.61,0.06604
325,100.0,15.6,101.0,0.9,1,145,84.61,0.06961
326,100.0,15.6,100.9,0.93,1,145,84.61,0.06863
327,100.0,15.6,100.9,0.9,1,145,84.61,0.06963
328,100.0,15.6,100.8,0.9,1,145,84.61,0.06965
329,100.0,15.0,100.9,0.9,1,145,84.61,0.06898
330,100.0,15.0,100.9,0.9,1,145,84.61,0.06898
331,100.0,15.0,100.9,0.9,1,145,84.61,0.06898
332,100.0,15.0,100.9,0.93,1,145,84.61,0.06799
333,100.0,15.0,101.0,0.93,1,145,84.61,0.06797
334,100.0,14.4,100.9,0.93,1,145,84.61,0.06735
335,100.0,14.4,100.9,0.93,1,145,84.61,0.06735
336,100.0,14.4,100.9,0.93,1,145,84.61,0.06735
337,100.0,13.9,100.9,0.93,1,145,84.61,0.0668
338,100.0,13.9,100.9,0.93,1,145,84.61,0.0668
339,100.0,13.3,100.8,0.97,1,145,84.61,0.06494
340,100.0,13.3,100.8,0.97,1,145,84.61,0.06494
341,100.0,13.3,100.9,0.97,1,145,84.61,0.06492
342,100.0,13.3,101.0,0.97,1,145,84.61,0.0649
343,100.0,13.3,101.0,0.97,1,145,84.61,0.0649
344,100.0,13.3,101.1,0.97,1,145,84.61,0.06488
345,100.0,13.9,101.1,0.9,1,145,84.61,0.06771
346,100.0,13.9,101.1,0.97,1,145,84.61,0.06551
347,100.0,13.9,101.1,0.97,1,145,84.61,0.06551
348,100.0,15.0,101.0,0.9,1,145,84.61,0.06896
349,100.0,15.6,100.9,0.87,1,145,84.61,0.07065
350,100.0,15.0,100.8,0.9,1,145,84.61,0.069
351,100.0,15.0,101.0,0.9,1,145,84.61,0.06896
352,100.0,14.4,101.0,0.93,1,145,84.61,0.06733
353,100.0,13.9,101.0,0.97,1,145,84.61,0.06553
354,100.0,13.3,101.0,0.97,1,145,84.61,0.0649
355,100.0,13.3,101.0,0.97,1,145,84.61,0.0649
356,100.0,13.3,101.0,0.97,1,145,84.61,0.0649
357,100.0,13.3,101.1,0.97,1,145,84.61,0.06488
358,100.0,13.3,101.0,0.97,1,145,84.61,0.0649
359,100.0,12.8,101.0,0.97,1,145,84.61,0.06436
360,100.0,12.8,101.0,0.97,1,145,84.61,0.06436
361,100.0,12.8,100.9,0.97,1,145,84.61,0.06438
362,100.0,12.8,100.9,0.97,1,145,84.61,0.06438
363,100.0,12.8,100.8,0.97,1,145,84.61,0.0644
364,100.0,12.8,101.0,0.97,1,145,84.61,0.06436
365,100.0,12.8,101.1,0.97,1,145,84.61,0.06434
366,100.0,13.3,100.9,0.97,1,145,84.61,0.06492
367,100.0,13.3,101.0,0.93,1,145,84.61,0.06612
368,100.0,14.4,101.1,0.93,1,145,84.61,0.06731
369,100.0,15.0,101.3,0.9,1,145,84.61,0.0689
370,100.0,15.0,101.2,0.87,1,145,84.61,0.06991
371,100.0,15.6,101.2,0.81,1,145,84.61,0.07266
372,100.0,15.6,101.1,0.81,1,145,84.61,0.07268
373,100.0,15.6,101.0,0.81,1,145,84.61,0.0727
374,100.0,16.1,101.0,0.78,1,145,84.61,0.07437
375,100.0,15.6,101.0,0.81,1,145,84.61,0.0727
376,100.0,15.6,101.0,0.81,1,145,84.61,0.0727
377,100.0,15.0,101.1,0.84,1,145,84.61,0.07094
378,100.0,15.0,101.1,0.84,1,145,84.61,0.07094
379,100.0,14.4,101.2,0.87,1,145,84.61,0.06923
380,100.0,14.4,101.2,0.87,1,145,84.61,0.06923
381,100.0,14.4,101.2,0.87,1,145,84.61,0.06923
382,100.0,14.4,101.2,0.87,1,145,84.61,0.06923
383,100.0,14.4,101.2,0.87,1,145,84.61,0.06923
384,100.0,13.9,101.1,0.9,1,145,84.61,0.06771
385,100.0,13.3,101.1,0.93,1,145,84.61,0.0661
386,100.0,12.8,101.0,0.97,1,145,84.61,0.06436
387,100.0,12.8,101.0,0.97,1,145,84.61,0.06436
388,100.0,12.8,100.8,0.97,1,145,84.61,0.0644
389,100.0,12.2,100.8,0.96,1,145,84.61,0.06405
390,100.0,12.2,100.9,0.96,1,145,84.61,0.06403
391,100.0,12.2,100.9,0.93,1,145,84.61,0.06491
392,100.0,11.7,100.8,0.96,1,145,84.61,0.06349
393,100.0,11.7,100.9,0.96,1,145,84.61,0.06347
394,100.0,11.7,100.9,0.96,1,145,84.61,0.06347
395,100.0,11.7,100.7,0.96,1,145,84.61,0.06351
396,100.0,11.7,100.5,0.96,1,145,84.61,0.06355
397,100.0,11.7,100.5,0.96,1,145,84.61,0.06355
398,100.0,11.7,100.4,0.96,1,145,84.61,0.06357
399,100.0,12.2,100.3,0.93,1,145,84.61,0.06504
400,100.0,12.2,100.3,0.93,1,145,84.61,0.06504
401,100.0,12.2,100.3,0.93,1,145,84.61,0.06504
402,100.0,12.2,100.3,0.93,1,145,84.61,0.06504
403,100.0,12.2,100.2,0.96,1,145,84.61,0.06417
404,100.0,12.8,100.3,0.93,1,145,84.61,0.06571
405,100.0,12.2,100.2,0.96,1,145,84.61,0.06417
406,100.0,12.2,100.2,0.96,1,145,84.61,0.06417
407,100.0,12.2,100.3,0.96,1,145,84.61,0.06415
408,100.0,12.2,100.3,0.96,1,145,84.61,0.06415
409,100.0,8.3,100.4,0.96,1,145,84.61,0.05969
410,100.0,6.7,100.4,0.93,1,145,84.61,0.05851
411,100.0,5.6,100.4,0.93,1,145,84.61,0.05715
412,100.0,5.0,100.5,0.96,1,145,84.61,0.05571
413,100.0,5.0,100.5,0.93,1,145,84.61,0.05638
414,100.0,4.4,100.6,0.96,1,145,84.61,0.05495
415,100.0,4.4,100.7,0.93,1,145,84.61,0.05558
416,100.0,4.4,100.9,0.89,1,145,84.61,0.05641
417,100.0,3.9,100.9,0.89,1,145,84.61,0.05576
418,100.0,3.9,101.0,0.86,1,145,84.61,0.05638
419,100.0,4.4,100.9,0.82,1,145,84.61,0.05795
420,100.0,5.6,100.8,0.76,1,145,84.61,0.06103
421,100.0,8.3,100.8,0.66,1,145,84.61,0.06754
422,100.0,8.3,100.8,0.63,1,145,84.61,0.06837
423,100.0,7.8,100.9,0.61,1,145,84.61,0.06811
424,100.0,6.7,101.0,0.6,1,145,84.61,0.06661
425,100.0,5.0,101.1,0.65,1,145,84.61,0.06268
426,100.0,3.9,101.2,0.65,1,145,84.61,0.06095
427,100.0,3.3,101.4,0.6,1,145,84.61,0.06106
428,100.0,2.8,101.4,0.62,1,145,84.61,0.05983
429,100.0,2.8,101.4,0.59,1,145,84.61,0.06047
430,100.0,2.8,101.4,0.57,1,145,84.61,0.0609
431,100.0,1.7,101.4,0.64,1,145,84.61,0.05768
432,100.0,1.1,101.5,0.67,1,145,84.61,0.05613
433,100.0,0.0,101.5,0.75,1,145,84.61,0.05298
434,100.0,-0.6,101.5,0.79,1,145,84.61,0.05129
435,100.0,-0.6,101.6,0.79,1,145,84.61,0.05127
436,100.0,-1.1,101.6,0.82,1,145,84.61,0.04996
437,100.0,-1.1,101.6,0.85,1,145,84.61,0.04945
438,100.0,-1.1,101.7,0.82,1,145,84.61,0.04994
439,100.0,-0.6,101.7,0.82,1,145,84.61,0.05072
440,100.0,2.2,101.8,0.76,1,145,84.61,0.05592
441,100.0,5.0,101.8,0.65,1,145,84.61,0.0625
442,100.0,7.2,101.8,0.54,1,145,84.61,0.0688
443,100.0,9.4,101.7,0.46,1,145,84.61,0.07487
444,100.0,10.6,101.6,0.4,1,145,84.61,0.07895
