,eGRID_subregion,climate_zone,chiller_type,scope,WC_mean,WC_std,%_evap_mean,%_evap_std,reference_w4r_(L/MWhr_sqm),normalized_w4r_mean,normalized_w4r_std,percent_diff-mean,percent_diff-std
87,NYUP,6A,WaterCooledChiller,PoG,2.3032946238522123,3.89458298737489,0.5496359588560881,0.025119249795756752,2.361038215051045,0.9755431357143096,1.6495213684166017,49.51751718936362,7.819176469531749
88,RFCE,4A,AbsorptionChiller,PoG,2.410532579234114,4.082330774296664,1.0,0.0,2.361038215051045,1.0209629661508883,1.7290405332166152,54.358981214748816,11.179296872682103
89,RFCE,4A,WaterCooledChiller,PoG,2.2984802672373283,3.8770108738518303,0.5483757007374898,0.023259915643023366,2.361038215051045,0.9735040511352486,1.6420788317346278,49.05162427672504,7.438985762500243
90,RFCE,5A,AbsorptionChiller,PoG,2.3928954161335683,4.065268968777133,1.0,0.0,2.361038215051045,1.0134928782090191,1.7218141336561315,53.22571708367757,11.382398231921563
91,RFCE,5A,WaterCooledChiller,PoG,2.2851784283722094,3.865301105353268,0.5452448487520932,0.024509931409351673,2.361038215051045,0.967870157206585,1.6371192472501772,48.04969435732519,7.537185527808885
92,RFCE,6A,AbsorptionChiller,PoG,2.4143552744111547,4.101546830998457,1.0,0.0,2.361038215051045,1.0225820399772554,1.737179349682734,54.636962157932416,11.935696116844902
93,RFCE,6A,WaterCooledChiller,PoG,2.3046579221004193,3.896867569951773,0.5493029026073902,0.02512154624084134,2.361038215051045,0.9761205504463185,1.650488986205386,49.40651424616426,7.808638495852432
94,RFCM,5A,AbsorptionChiller,PoG,2.3928954161335683,4.065268968777133,1.0,0.0,2.361038215051045,1.0134928782090191,1.7218141336561315,72.78644692415065,12.835470346636253
95,RFCM,5A,WaterCooledChiller,PoG,2.170661375521676,3.6733977551561696,0.5747720442062394,0.024240063504031063,2.361038215051045,0.9193673197173334,1.555840024841255,58.376889381664355,8.499379424993322
96,RFCM,6A,AbsorptionChiller,PoG,2.4143552744111547,4.101546830998457,1.0,0.0,2.361038215051045,1.0225820399772554,1.737179349682734,74.37785094405508,13.4594020041031
97,RFCM,6A,WaterCooledChiller,PoG,2.1901408692499045,3.7049629191676443,0.5787667169600629,0.024830210602169472,2.361038215051045,0.9276177129570746,1.569209212942597,59.90692032015437,8.805485963403711
98,RFCW,4A,AbsorptionChiller,PoG,2.410532579234114,4.082330774296664,1.0,0.0,2.361038215051045,1.0209629661508883,1.7290405332166152,74.86162452113805,12.664180579426908
99,RFCW,4A,WaterCooledChiller,PoG,2.179873319642132,3.6782525781928674,0.578975696103588,0.02293957564453272,2.361038215051045,0.9232689694499518,1.5578962486692933,59.92971788295119,8.427064787436827
100,RFCW,5A,AbsorptionChiller,PoG,2.3928954161335683,4.065268968777133,1.0,0.0,2.361038215051045,1.0134928782090191,1.7218141336561315,73.57783523067243,12.894258760426608
