,eGRID_subregion,climate_zone,chiller_type,scope,WC_mean,WC_std,percent_diff-mean,percent_diff-std
148,SRMW,3A,AirCooledChiller,PoG,1.5579283971808984,2.610815057302714,0.0,0.0
149,SRMW,3A,WaterCooledChiller,PoG,2.3884288360636265,4.0248679083530305,50.41312006685658,6.424281268926749
150,SRMW,4A,AirCooledChiller,PoG,1.5579283971808984,2.610815057302714,0.0,0.0
151,SRMW,4A,WaterCooledChiller,PoG,2.3601013480569057,3.9802740476922027,48.072724457207215,7.192724749094103
152,SRMW,5A,AirCooledChiller,PoG,1.5579283971808984,2.610815057302714,0.0,0.0
153,SRMW,5A,WaterCooledChiller,PoG,2.3467995091917864,3.96856367114415,47.10396253747418,7.287673698445174
154,SRSO,2A,AirCooledChiller,PoG,1.4091019039542592,2.361407927844922,0.0,0.0
155,SRSO,2A,WaterCooledChiller,PoG,2.242017683812915,3.7660169579867344,57.03427995730377,6.336775320447549
156,SRSO,3A,AirCooledChiller,PoG,1.409101903954259,2.3230084918586225,0.0,0.0
157,SRSO,3A,WaterCooledChiller,PoG,2.2859088077974405,3.7904113057899287,59.02389146255921,6.987300469211571
158,SRSO,4A,AirCooledChiller,PoG,1.4091019039542592,2.361407927844922,0.0,0.0
159,SRSO,4A,WaterCooledChiller,PoG,2.257581319790713,3.808473457778117,56.43630800200444,7.952405790031074
160,SRTV,3A,AirCooledChiller,PoG,1.1597383647713306,1.911914292456674,0.0,0.0
161,SRTV,3A,WaterCooledChiller,PoG,2.114133228521634,3.50723528481626,78.40516153600122,8.489689307290988
162,SRTV,4A,AirCooledChiller,PoG,1.1597383647713304,1.9435183226364088,0.0,0.0
163,SRTV,4A,WaterCooledChiller,PoG,2.0858057405149126,3.5206171838697182,75.26120347471755,9.66230874146571
164,SRTV,5A,AirCooledChiller,PoG,1.1597383647713304,1.9435183226364088,0.0,0.0
165,SRTV,5A,WaterCooledChiller,PoG,2.0725039016497875,3.5089097933101487,73.9598222746852,9.789857910282633
166,SRVC,2A,AirCooledChiller,PoG,1.3200434971032293,2.2121616402704576,0.0,0.0
167,SRVC,2A,WaterCooledChiller,PoG,2.1806692626429913,3.663210167928102,62.98134207626906,6.764293895286823
168,SRVC,3A,AirCooledChiller,PoG,1.3200434971032293,2.17618913492936,0.0,0.0
