,city,building,CoolingDemand_kWh,floor_area_m^2,climate_zone,eGRID_subregion,w4e_int_factor_(L/kWhe),CoolingDemand_intensity_kWh/sqm,chiller_type,Cooling_ElecDemand_kWh,Cooling_HeatDemand_kWh,Total_annual_water_consumption_L,Total_WaterConsumption_intensity_L/kWh,Total_WaterConsumption_intensity_L/kWh_sqm
76,houston,stand_alone_retail,347604.700222829,2294.0,2A,SRMV,45.881,151.52776818780688,AirCooledChiller,102236.67653612618,0,4690720.956154006,13.494411764705884,0.005882481152879635
77,houston,strip_mall,283609.45215008274,2090.0,2A,SRMV,45.881,135.6983024641544,AirCooledChiller,83414.54475002433,0,3827142.7276758663,13.494411764705882,0.0064566563467492255
78,houston,supermarket,343831.0932244791,4181.0,2A,SRMV,45.881,82.23656857796678,AirCooledChiller,101126.7921248468,0,4639798.349480096,13.494411764705884,0.0032275560307835167
79,houston,warehouse,83300.38506025884,4835.0,2A,SRMV,45.881,17.228621522287245,AirCooledChiller,24500.113253017305,0,1124089.696161687,13.494411764705882,0.002790984853093254
80,houston,full_service_restaurant,234795.52030166617,569.52,2A,SRSO,10.291,412.26913945369114,AirCooledChiller,69057.50597107828,0,710670.7939483667,3.026764705882353,0.005314588962428629
81,houston,hospital,18556071.28920018,22422.0,2A,SRSO,10.291,827.5832347337516,AirCooledChiller,5457668.026235347,0,56164861.65798795,3.026764705882353,0.00013499084407645853
82,houston,large_hotel,3829362.368251737,11345.0,2A,SRSO,10.291,337.537449823864,AirCooledChiller,1126283.049485805,0,11590578.86225842,3.026764705882353,0.0002667928343660073
83,houston,large_office,8672765.267591411,46320.0,2A,SRSO,10.291,187.23586501708573,AirCooledChiller,2550813.313997474,0,26250419.814348005,3.026764705882353,6.53446611805344e-05
84,houston,medium_office,729910.741203094,4982.0,2A,SRSO,10.291,146.50958273847732,AirCooledChiller,214679.6297656159,0,2209268.069917953,3.026764705882353,0.0006075400854842137
85,houston,midrise_apartment,286310.58942129154,3135.0,2A,SRSO,10.291,91.32714176117753,AirCooledChiller,84208.99688861516,0,866594.7869807386,3.026764705882353,0.0009654751852894268
86,houston,outpatient_healthcare,1850098.4989864696,3804.0,2A,SRSO,10.291,486.356072288767,AirCooledChiller,544146.6173489616,0,5599812.839138164,3.026764705882353,0.000795679470526381
87,houston,primary_school,978606.1960831732,6871.0,2A,SRSO,10.291,142.4255852253199,AirCooledChiller,287825.3517891686,0,2962010.6952623343,3.0267647058823535,0.00044051298295478874
88,houston,quick_service_restaurant,96539.23317992152,232.0,2A,SRSO,10.291,416.1173843962134,AirCooledChiller,28393.892111741625,0,292201.5437219331,3.0267647058823535,0.013046399594320489
