,city,building,CoolingDemand_kWh,floor_area_m^2,climate_zone,eGRID_subregion,grid_loss_factor,w4e_int_factor_(L/kWhe),CoolingDemand_intensity_kWh/sqm,chiller_type,Cooling_ElecDemand_kWh,Cooling_HeatDemand_kWh,PoG_annual_water_consumption_L,PoG_WaterConsumption_intensity_L/kWh,PoG_WaterConsumption_intensity_L/kWh_sqm,MakeupWater_kg,percent_evaporation
81,houston,hospital,18556071.28920018,22422.0,2A,SRSO,0.053,7.12,827.5832347337516,AirCooledChiller,5598452.644199783,0,39860982.82670245,2.1481369739025493,9.580487797264068e-05,0,0
82,houston,large_hotel,3829362.368251737,11345.0,2A,SRSO,0.053,7.12,337.537449823864,AirCooledChiller,1155336.3609146893,0,8225994.889712588,2.1481369739025498,0.0001893465820980652,0,0
83,houston,large_office,8672765.267591411,46320.0,2A,SRSO,0.053,7.12,187.23586501708573,AirCooledChiller,2616613.446248729,0,18630287.73729095,2.1481369739025493,4.6376014117067125e-05,0,0
84,houston,medium_office,729910.741203094,4982.0,2A,SRSO,0.053,7.12,146.50958273847732,AirCooledChiller,220217.4509588457,0,1567948.2508269814,2.1481369739025498,0.0004311796414898735,0,0
85,houston,midrise_apartment,286310.58942129154,3135.0,2A,SRSO,0.053,7.12,91.32714176117753,AirCooledChiller,86381.23078029614,0,615034.3631557085,2.1481369739025498,0.0006852111559497767,0,0
86,houston,outpatient_healthcare,1850098.4989864696,3804.0,2A,SRSO,0.053,7.12,486.356072288767,AirCooledChiller,558183.2852576466,0,3974264.9910344435,2.1481369739025493,0.0005647047775769057,0,0
87,houston,primary_school,978606.1960831732,6871.0,2A,SRSO,0.053,7.12,142.4255852253199,AirCooledChiller,295250.02144612256,0,2102180.1526963925,2.1481369739025493,0.0003126381856938654,0,0
88,houston,quick_service_restaurant,96539.23317992152,232.0,2A,SRSO,0.053,7.12,416.1173843962134,AirCooledChiller,29126.333739605227,0,207379.49622598922,2.1481369739025498,0.009259211094407542,0,0
89,houston,secondary_school,9826665.830957824,19592.0,2A,SRSO,0.053,7.12,501.5652220782883,AirCooledChiller,2964750.590121534,0,21109024.201665323,2.1481369739025493,0.0001096435776797953,0,0
90,houston,small_hotel,672384.7755477133,4014.0,2A,SRSO,0.053,7.12,167.50990920471182,AirCooledChiller,202861.600708316,0,1444374.59704321,2.1481369739025498,0.0005351611793479197,0,0
91,houston,small_office,53903.80669190545,511.0,2A,SRSO,0.053,7.12,105.48690154971712,AirCooledChiller,16263.028116429461,0,115792.76018897776,2.1481369739025493,0.004203790555582288,0,0
92,houston,stand_alone_retail,347604.700222829,2294.0,2A,SRSO,0.053,7.12,151.52776818780688,AirCooledChiller,104873.94787232736,0,746702.5088509709,2.1481369739025498,0.0009364154201841978,0,0
93,houston,strip_mall,283609.45215008274,2090.0,2A,SRSO,0.053,7.12,135.6983024641544,AirCooledChiller,85566.28515615712,0,609231.9503118386,2.1481369739025493,0.0010278167339246647,0,0
94,houston,supermarket,343831.0932244791,4181.0,2A,SRSO,0.053,7.12,82.23656857796678,AirCooledChiller,103735.43316472444,0,738596.284132838,2.1481369739025498,0.0005137854517824802,0,0
95,houston,warehouse,83300.38506025884,4835.0,2A,SRSO,0.053,7.12,17.228621522287245,AirCooledChiller,25132.111950598533,0,178940.63708826157,2.1481369739025498,0.0004442889294524405,0,0
96,houston,full_service_restaurant,234795.52030166617,569.52,2A,SRVC,0.053,6.67,412.26913945369114,AirCooledChiller,70838.89585206402,0,472495.43533326697,2.0123698898778097,0.003533449027036469,0,0
97,houston,hospital,18556071.28920018,22422.0,2A,SRVC,0.053,6.67,827.5832347337516,AirCooledChiller,5598452.644199783,0,37341679.13681255,2.0123698898778097,8.974979439290918e-05,0,0
98,houston,large_hotel,3829362.368251737,11345.0,2A,SRVC,0.053,6.67,337.537449823864,AirCooledChiller,1155336.3609146893,0,7706093.527300977,2.0123698898778097,0.00017737945261153017,0,0
99,houston,large_office,8672765.267591411,46320.0,2A,SRVC,0.053,6.67,187.23586501708573,AirCooledChiller,2616613.446248729,0,17452811.68647902,2.0123698898778097,4.344494580910643e-05,0,0
100,houston,medium_office,729910.741203094,4982.0,2A,SRVC,0.053,6.67,146.50958273847732,AirCooledChiller,220217.4509588457,0,1468850.3978955008,2.0123698898778097,0.00040392811920469886,0,0
101,houston,midrise_apartment,286310.58942129154,3135.0,2A,SRVC,0.053,6.67,91.32714176117753,AirCooledChiller,86381.23078029614,0,576162.8093045753,2.0123698898778097,0.0006419042710934002,0,0
102,houston,outpatient_healthcare,1850098.4989864696,3804.0,2A,SRVC,0.053,6.67,486.356072288767,AirCooledChiller,558183.2852576466,0,3723082.5126685025,2.0123698898778097,0.0005290141666345451,0,0
103,houston,primary_school,978606.1960831732,6871.0,2A,SRVC,0.053,6.67,142.4255852253199,AirCooledChiller,295250.02144612256,0,1969317.6430456375,2.0123698898778097,0.0002928787498002925,0,0
104,houston,quick_service_restaurant,96539.23317992152,232.0,2A,SRVC,0.053,6.67,416.1173843962134,AirCooledChiller,29126.333739605227,0,194272.64604316687,2.0123698898778097,0.008674008146025041,0,0
105,houston,secondary_school,9826665.830957824,19592.0,2A,SRVC,0.053,6.67,501.5652220782883,AirCooledChiller,2964750.590121534,0,19774886.436110634,2.0123698898778097,0.00010271385718037004,0,0
106,houston,small_hotel,672384.7755477133,4014.0,2A,SRVC,0.053,6.67,167.50990920471182,AirCooledChiller,202861.600708316,0,1353086.8767244676,2.0123698898778097,0.0005013377902037394,0,0
107,houston,small_office,53903.80669190545,511.0,2A,SRVC,0.053,6.67,105.48690154971712,AirCooledChiller,16263.028116429461,0,108474.39753658451,2.0123698898778097,0.003938101545749138,0,0
108,houston,stand_alone_retail,347604.700222829,2294.0,2A,SRVC,0.053,6.67,151.52776818780688,AirCooledChiller,104873.94787232736,0,699509.2323084235,2.0123698898778097,0.0008772318613242413,0,0
109,houston,strip_mall,283609.45215008274,2090.0,2A,SRVC,0.053,6.67,135.6983024641544,AirCooledChiller,85566.28515615712,0,570727.1219915679,2.0123698898778097,0.0009628564066401004,0,0
110,houston,supermarket,343831.0932244791,4181.0,2A,SRVC,0.053,6.67,82.23656857796678,AirCooledChiller,103735.43316472444,0,691915.339208712,2.0123698898778097,0.00048131305665577846,0,0
111,houston,warehouse,83300.38506025884,4835.0,2A,SRVC,0.053,6.67,17.228621522287245,AirCooledChiller,25132.111950598533,0,167631.1867104922,2.0123698898778097,0.00041620887070895757,0,0
112,phoenix,full_service_restaurant,266638.07857127185,569.52,2B,AZNM,0.053,11.68,468.1803599017978,AirCooledChiller,80445.94315018007,0,939608.6159941033,3.5239100920199125,0.006187508940897445,0,0
113,phoenix,hospital,16674461.267935596,22422.0,2B,AZNM,0.053,11.68,743.6652068475424,AirCooledChiller,5030762.186735736,0,58759302.341073394,3.5239100920199125,0.00015716305824725325,0,0
114,phoenix,large_hotel,3981322.8122200817,11345.0,2B,AZNM,0.053,11.68,350.93193585016144,AirCooledChiller,1201183.5306139938,0,14029823.637571447,3.523910092019913,0.0003106134942282867,0,0
115,phoenix,large_office,8387812.171068958,46320.0,2B,AZNM,0.053,11.68,181.0840278728186,AirCooledChiller,2530641.777362787,0,29557895.959597353,3.5239100920199125,7.607750630440225e-05,0,0
116,phoenix,medium_office,838239.4245932477,4982.0,2B,AZNM,0.053,11.68,168.2535978709851,AirCooledChiller,252900.71642577997,0,2953880.36785311,3.523910092019913,0.0007073284006463093,0,0
117,phoenix,midrise_apartment,365488.4260348538,3135.0,2B,AZNM,0.053,11.68,116.58322999516868,AirCooledChiller,110269.55077231975,0,1287948.3530206946,3.5239100920199125,0.0011240542558277234,0,0
118,phoenix,outpatient_healthcare,1924976.0250693748,3804.0,2B,AZNM,0.053,11.68,506.03996452927834,AirCooledChiller,580774.1816471188,0,6783442.441638347,3.523910092019913,0.00092636963512616,0,0
119,phoenix,primary_school,1117634.0042763494,6871.0,2B,AZNM,0.053,11.68,162.6595843801993,AirCooledChiller,337195.3550388745,0,3938441.746854054,3.5239100920199125,0.0005128671360820714,0,0
120,phoenix,quick_service_restaurant,119619.07263903388,232.0,2B,AZNM,0.053,11.68,515.5994510303185,AirCooledChiller,36089.62819098926,0,421526.8572707545,3.523910092019913,0.015189267638016866,0,0
121,phoenix,secondary_school,11281158.855991058,19592.0,2B,AZNM,0.053,11.68,575.8043515716138,AirCooledChiller,3403577.871772834,0,39753789.5423067,3.5239100920199125,0.00017986474540730463,0,0
122,phoenix,small_hotel,733770.7055353516,4014.0,2B,AZNM,0.053,11.68,182.8028663516073,AirCooledChiller,221382.02007402375,0,2585741.994464597,3.5239100920199125,0.0008779048560089468,0,0
123,phoenix,small_office,71996.84106732268,511.0,2B,AZNM,0.053,11.68,140.89401383037705,AirCooledChiller,21721.780379340074,0,253710.39483069206,3.5239100920199125,0.0068961058552248775,0,0
124,phoenix,stand_alone_retail,401983.2397528322,2294.0,2B,AZNM,0.053,11.68,175.23244976147873,AirCooledChiller,121280.20508457754,0,1416552.7953878655,3.5239100920199125,0.0015361421499650882,0,0
125,phoenix,strip_mall,314040.5657171544,2090.0,2B,AZNM,0.053,11.68,150.25864388380595,AirCooledChiller,94747.49305088383,0,1106650.718834323,3.523910092019913,0.001686081383741585,0,0
126,phoenix,supermarket,476932.2068895614,4181.0,2B,AZNM,0.053,11.68,114.07132429790992,AirCooledChiller,143892.6555708437,0,1680666.2170674542,3.5239100920199125,0.0008428390557330572,0,0
127,phoenix,warehouse,157690.34950958707,4835.0,2B,AZNM,0.053,11.68,32.61434322845648,AirCooledChiller,47575.90873724154,0,555686.6140509811,3.5239100920199125,0.0007288335247197337,0,0
128,phoenix,full_service_restaurant,266638.07857127185,569.52,2B,CAMX,0.053,11.55,468.1803599017978,AirCooledChiller,80445.94315018007,0,929150.6433845799,3.4846884899683213,0.006118641118781292,0,0
