,city,building,CoolingDemand_kWh,floor_area_m^2,climate_zone,eGRID_subregion,fuel_type,w4e_intensity (L/kWh),CoolingDemand_intensity_kWh/sqm,chiller_type,Cooling_ElecDemand_kWh,annual_water_consumption_L,WaterConsumption_intensity_L/kWh,WaterConsumption_intensity L_per_kWh_sqm
49,chicago,hospital,13606340.421012891,22422.0,5A,RFCW,US Overall,0.268,606.8299179829137,AirCooledChiller,4001864.829709674,1072499.7743621927,0.07882352941176471,3.515454884121163e-06
50,chicago,large_hotel,2960639.0400040997,11345.0,5A,RFCW,US Overall,0.268,260.9642168359718,AirCooledChiller,870776.1882364999,233368.018447382,0.07882352941176471,6.947865086977938e-06
51,chicago,large_office,3676505.0049129263,46320.0,5A,RFCW,US Overall,0.268,79.37186970882829,AirCooledChiller,1081325.0014449784,289795.1003872542,0.07882352941176471,1.701716956212537e-06
52,chicago,medium_office,281405.05396445055,4982.0,5A,RFCW,US Overall,0.268,56.48435446897843,AirCooledChiller,82766.19234248546,22181.339547786105,0.07882352941176472,1.58216638722932e-05
53,chicago,midrise_apartment,102746.57848341212,3135.0,5A,RFCW,US Overall,0.268,32.77402822437388,AirCooledChiller,30219.581906885916,8098.847951045426,0.07882352941176471,2.5143071582700067e-05
54,chicago,outpatient_healthcare,976166.6299806006,3804.0,5A,RFCW,US Overall,0.268,256.6158333282336,AirCooledChiller,287107.83234723547,76944.89906905912,0.07882352941176472,2.072122224284036e-05
55,chicago,primary_school,316393.7943632786,6871.0,5A,RFCW,US Overall,0.268,46.04770693687652,AirCooledChiller,93056.99834214077,24939.275555693726,0.07882352941176471,1.1471915210561012e-05
56,chicago,quick_service_restaurant,27837.908348107994,232.0,5A,RFCW,US Overall,0.268,119.99098425908618,AirCooledChiller,8187.620102384704,2194.282187439101,0.07882352941176472,0.0003397565922920893
57,chicago,secondary_school,3869679.460327919,19592.0,5A,RFCW,US Overall,0.268,197.51324317721105,AirCooledChiller,1138141.0177435055,305021.7927552595,0.07882352941176471,4.023250786635602e-06
58,chicago,small_hotel,318329.0703395533,4014.0,5A,RFCW,US Overall,0.268,79.30470113093007,AirCooledChiller,93626.19715869214,25091.820838529497,0.07882352941176471,1.96371523198218e-05
59,chicago,small_office,17186.981580108182,511.0,5A,RFCW,US Overall,0.268,33.6340148338712,AirCooledChiller,5054.994582384759,1354.7385480791156,0.07882352941176471,0.00015425348221480373
60,chicago,stand_alone_retail,88250.34608314835,2294.0,5A,RFCW,US Overall,0.268,38.47007239893128,AirCooledChiller,25955.984142102458,6956.203750083459,0.07882352941176472,3.436073644802298e-05
61,chicago,strip_mall,80446.3223363658,2090.0,5A,RFCW,US Overall,0.268,38.491063318835316,AirCooledChiller,23660.68304010759,6341.0630547488345,0.07882352941176471,3.77146073740501e-05
62,chicago,supermarket,84912.2049619902,4181.0,5A,RFCW,US Overall,0.268,20.30906600382449,AirCooledChiller,24974.177929997117,6693.079685239228,0.07882352941176471,1.885279344935774e-05
63,chicago,warehouse,18574.371537099592,4835.0,5A,RFCW,US Overall,0.268,3.8416487150154275,AirCooledChiller,5463.050452088116,1464.097521159615,0.07882352941176471,1.6302694811119898e-05
64,denver,full_service_restaurant,64939.12165145914,569.52,5B,RMPA,US Overall,0.268,114.02430406563272,AirCooledChiller,19099.741662193865,5118.730765467956,0.07882352941176471,0.0001384034439734596
65,denver,hospital,10603665.525031984,22422.0,5B,RMPA,US Overall,0.268,472.91345665114545,AirCooledChiller,3118725.1544211716,835818.3413848741,0.07882352941176471,3.515454884121163e-06
66,denver,large_hotel,2542640.2527970057,11345.0,5B,RMPA,US Overall,0.268,224.11989888030018,AirCooledChiller,747835.3684697076,200419.87874988164,0.07882352941176471,6.947865086977938e-06
67,denver,large_office,2544008.9002910727,46320.0,5B,RMPA,US Overall,0.268,54.92247194065356,AirCooledChiller,748237.9118503155,200527.76037588457,0.07882352941176471,1.701716956212537e-06
68,denver,medium_office,251212.54224308176,4982.0,5B,RMPA,US Overall,0.268,50.42403497452464,AirCooledChiller,73886.04183620051,19801.459212101738,0.07882352941176471,1.5821663872293198e-05
69,denver,midrise_apartment,88891.21466427414,3135.0,5B,RMPA,US Overall,0.268,28.354454438364957,AirCooledChiller,26144.4749012571,7006.7192735369035,0.07882352941176471,2.5143071582700067e-05
70,denver,outpatient_healthcare,932065.3335965892,3804.0,5B,RMPA,US Overall,0.268,245.02243259636938,AirCooledChiller,274136.86282252625,73468.67923643703,0.07882352941176471,2.0721222242840356e-05
71,denver,primary_school,255303.75812595655,6871.0,5B,RMPA,US Overall,0.268,37.15671054081743,AirCooledChiller,75089.34062528134,20123.943287575403,0.07882352941176472,1.1471915210561014e-05
72,denver,quick_service_restaurant,25337.530955736234,232.0,5B,RMPA,US Overall,0.268,109.21349549886308,AirCooledChiller,7452.214986981246,1997.193616510974,0.07882352941176471,0.00033975659229208927
73,denver,secondary_school,2499227.711466768,19592.0,5B,RMPA,US Overall,0.268,127.56368474207676,AirCooledChiller,735066.9739608141,196997.94902149818,0.07882352941176471,4.023250786635602e-06
74,denver,small_hotel,284991.0912695219,4014.0,5B,RMPA,US Overall,0.268,70.99927535364273,AirCooledChiller,83820.90919691822,22464.003664774085,0.07882352941176472,1.9637152319821803e-05
75,denver,small_office,14682.394108257517,511.0,5B,RMPA,US Overall,0.268,28.732669487783788,AirCooledChiller,4318.3512083110345,1157.3181238273573,0.07882352941176472,0.00015425348221480376
76,denver,stand_alone_retail,71441.8560141265,2294.0,5B,RMPA,US Overall,0.268,31.14291892507694,AirCooledChiller,21012.31059239015,5631.29923876056,0.07882352941176471,3.4360736448022976e-05
77,denver,strip_mall,63755.91860287251,2090.0,5B,RMPA,US Overall,0.268,30.50522421190072,AirCooledChiller,18751.740765550738,5025.466525167598,0.07882352941176471,3.77146073740501e-05
78,denver,supermarket,69289.41325778273,4181.0,5B,RMPA,US Overall,0.268,16.572449954026006,AirCooledChiller,20379.23919346551,5461.636103848757,0.07882352941176471,1.885279344935774e-05
79,denver,warehouse,20141.254034243066,4835.0,5B,RMPA,US Overall,0.268,4.165719552066818,AirCooledChiller,5923.898245365608,1587.604729757983,0.07882352941176471,1.6302694811119898e-05
