,city,building,CoolingDemand_kWh,Cooling_HeatDemand_kWh,Cooling_ElecDemand_kWh,MakeupWater_kg,floor_area_m^2,climate_zone,eGRID_subregion,grid_loss_factor,chiller_type,CoolingDemand_intensity_kWh/sqm,w4e_int_factor_(L/kWhe),PoG_annual_water_consumption_L,percent_evaporation,PoG_WaterConsumption_intensity_L/kWh,PoG_WaterConsumption_intensity_L/kWh_sqm
42,houston,small_hotel,672384.7755477133,0,136228.32692899165,1180924.0370304862,4014.0,2A,FRCC,0.053,WaterCooledChiller,167.50990920471182,10.81,2653552.251132886,0.44503515486695694,3.946478783627049,0.0009831785709085823
43,houston,small_office,53903.80669190545,0,10921.165481119595,102150.34898568528,511.0,2A,FRCC,0.053,WaterCooledChiller,105.48690154971712,10.81,220208.1478365881,0.4638808781112357,4.085205876000887,0.007994532046968468
44,houston,stand_alone_retail,347604.700222829,0,70426.35179453055,674551.7072146306,2294.0,2A,FRCC,0.053,WaterCooledChiller,151.52776818780688,10.81,1435860.5701135057,0.4697891433576359,4.130728293354663,0.0018006662133193822
45,houston,strip_mall,283609.45215008274,0,57460.612691864706,557084.148798749,2090.0,2A,FRCC,0.053,WaterCooledChiller,135.6983024641544,10.81,1178233.3719978065,0.47281307934281297,4.15442208665986,0.0019877617639520863
46,houston,supermarket,343831.0932244791,0,69661.8012178843,672039.7544439874,4181.0,2A,FRCC,0.053,WaterCooledChiller,82.23656857796678,10.81,1425083.8256093168,0.47157910458821345,4.1447206308328655,0.0009913228009645696
47,houston,warehouse,83300.38506025884,0,16877.050911891907,175686.2925346329,4835.0,2A,FRCC,0.053,WaterCooledChiller,17.228621522287245,10.81,358127.2128921844,0.49056951331850884,4.299226379723431,0.000889188496323357
48,houston,full_service_restaurant,234795.52030166617,0,47570.67986118942,439912.5564633682,569.52,2A,SPSO,0.053,WaterCooledChiller,412.26913945369114,4.27,643039.359470647,0.6841145102307676,2.738720733021088,0.004808822750774491
49,houston,hospital,18556071.28920018,0,3759547.565668302,29302961.80988734,22422.0,2A,SPSO,0.053,WaterCooledChiller,827.5832347337516,4.27,45356229.91529099,0.6460625555654572,2.4442797836031582,0.00010901256728227448
50,houston,large_hotel,3829362.368251737,0,775846.8775662422,6305615.856243538,11345.0,2A,SPSO,0.053,WaterCooledChiller,337.537449823864,4.27,9618482.023451392,0.6555728690732531,2.5117711771536073,0.00022139895788044137
51,houston,large_office,8672765.267591411,0,1757143.1496042253,15158879.582233837,46320.0,2A,SPSO,0.053,WaterCooledChiller,187.23586501708573,4.27,22661880.831043877,0.6689153338706164,2.6129936798505677,5.6411780653077886e-05
52,houston,medium_office,729910.741203094,0,147883.35890056324,1356596.18999264,4982.0,2A,SPSO,0.053,WaterCooledChiller,146.50958273847732,4.27,1988058.132498045,0.6823724959632055,2.7237003379634848,0.0005467082171745252
53,houston,midrise_apartment,286310.58942129154,0,58007.875843328125,524612.1927521543,3135.0,2A,SPSO,0.053,WaterCooledChiller,91.32714176117753,4.27,772305.8226031654,0.679280380126975,2.6974406506032387,0.0008604276397458497
54,houston,outpatient_healthcare,1850098.4989864696,0,374838.68216001947,3159993.507817786,3804.0,2A,SPSO,0.053,WaterCooledChiller,486.356072288767,4.27,4760554.680641069,0.6637868315362472,2.573135799660948,0.0006764289694166529
55,houston,primary_school,978606.1960831732,0,198270.2310684527,1884287.3678230823,6871.0,2A,SPSO,0.053,WaterCooledChiller,142.4255852253199,4.27,2730901.2544853752,0.6899873676238678,2.7906028649886783,0.00040614217217125286
56,houston,quick_service_restaurant,96539.23317992153,0,19559.303983936145,183253.45657550596,232.0,2A,SPSO,0.053,WaterCooledChiller,416.1173843962135,4.27,266771.68458691327,0.6869299373329955,2.7633499438484983,0.01191099113727801
57,houston,secondary_school,9826665.830957823,0,1990928.8462862747,18132713.46954566,19592.0,2A,SPSO,0.053,WaterCooledChiller,501.56522207828823,4.27,26633979.643188052,0.6808112686300453,2.7103780775042385,0.00013834106153043276
58,houston,small_hotel,672384.7755477133,0,136228.32692899165,1180924.0370304862,4014.0,2A,SPSO,0.053,WaterCooledChiller,167.50990920471182,4.27,1762618.9930172805,0.6699825893790925,2.621443936742144,0.0006530752209123428
