,city,building,CoolingDemand_kWh,Cooling_HeatDemand_kWh,Cooling_ElecDemand_kWh,MakeupWater_kg,floor_area_m^2,climate_zone,eGRID_subregion,w4e_intensity (L/kWh),chiller_type,CoolingDemand_intensity_kWh/sqm,fuel_type,annual_water_consumption_L,WaterConsumption_intensity_L/kWh,WaterConsumption_intensity L_per_kWh_sqm
1605,miami,midrise_apartment,405308.6893941922,0,77765.22720509903,712848.2972495392,3135.0,1A,FRCC,0.685,WaterCooledChiller,83.82806399052579,Bituminous Coal,766117.4778850321,1.8902073849690577,0.00039094258220663037
1606,miami,outpatient_healthcare,2215771.0834806184,0,425132.6118838126,3822555.254624087,3804.0,1A,FRCC,0.685,WaterCooledChiller,458.27736990292004,Bituminous Coal,4113771.0937644984,1.85658668642901,0.0003839889734082751
1607,miami,primary_school,1356672.9030103134,0,260300.30765757823,2466014.5202296968,6871.0,1A,FRCC,0.685,WaterCooledChiller,280.5941888335705,Bituminous Coal,2644320.230975138,1.9491214316344578,0.0004031274936162271
1608,miami,quick_service_restaurant,134955.77569957165,0,25893.514830891232,242107.4002331901,232.0,1A,FRCC,0.685,WaterCooledChiller,27.91225971035608,Bituminous Coal,259844.4578923506,1.925404500440179,0.00039822223380355307
1609,miami,secondary_school,13001265.61455965,0,2494509.495913515,23210193.186227147,19592.0,1A,FRCC,0.685,WaterCooledChiller,2688.989785844809,Bituminous Coal,24918932.190927904,1.9166543419451478,0.0003964124802368455
1610,miami,small_hotel,882641.2277602147,0,169349.43023292767,1529721.5612397434,4014.0,1A,FRCC,0.685,WaterCooledChiller,182.55247730304336,Bituminous Coal,1645725.920949299,1.8645468500553544,0.0003856353361024518
1611,miami,small_office,77860.89656315124,0,14938.910687250036,140180.4759308774,511.0,1A,FRCC,0.685,WaterCooledChiller,16.10359804822156,Bituminous Coal,150413.6297516437,1.9318250417222789,0.00039955016374814453
1612,miami,stand_alone_retail,494478.4787146058,0,94873.9374493755,898850.09968597,2294.0,1A,FRCC,0.685,WaterCooledChiller,102.27062641460306,Bituminous Coal,963838.7468387922,1.9492026212026172,0.0004031442856675527
1613,miami,strip_mall,395947.9090670562,0,75969.20548633242,725080.5572293277,2090.0,1A,FRCC,0.685,WaterCooledChiller,81.89201842131462,Bituminous Coal,777119.4629874654,1.9626810628159057,0.0004059319674903631
1614,miami,supermarket,431613.59909479733,0,82812.26254632222,787651.1944831623,4181.0,1A,FRCC,0.685,WaterCooledChiller,89.2685830599374,Bituminous Coal,844377.594327393,1.956327595094932,0.0004046179100506581
1615,miami,warehouse,417101.76681913476,0,80027.92566036494,796725.5422036935,4835.0,1A,FRCC,0.685,WaterCooledChiller,86.26716997293377,Bituminous Coal,851544.6712810436,2.041575315719757,0.00042224928970418965
1616,minneapolis,full_service_restaurant,58445.38786568652,0,11213.721751829715,113071.37853670052,569.52,6A,MROW,0.685,WaterCooledChiller,12.087980944299177,Bituminous Coal,120752.77793670387,2.0660788189857873,0.00042731723246862196
1617,minneapolis,hospital,12220318.45247957,0,2344671.7670824127,17941332.986285474,22422.0,6A,MROW,0.685,WaterCooledChiller,2527.47020733807,Bituminous Coal,19547433.146736927,1.5995845953401195,0.0003308344561199834
1618,minneapolis,large_hotel,2759755.958306853,0,529505.1765338064,4111796.655763804,11345.0,6A,MROW,0.685,WaterCooledChiller,570.7871682123791,Bituminous Coal,4474507.701689461,1.6213418031479243,0.0003353343956872646
1619,minneapolis,large_office,3170163.0869383183,0,608248.6242805641,5875348.303682932,46320.0,6A,MROW,0.685,WaterCooledChiller,655.6697180844506,Bituminous Coal,6291998.611315118,1.9847554964094316,0.00041049751735458773
1620,minneapolis,medium_office,234904.38351073337,0,45070.321049592916,446035.5019272472,4982.0,6A,MROW,0.685,WaterCooledChiller,48.584153776780425,Bituminous Coal,476908.67184621835,2.030224658725567,0.00041990168743031377
1621,minneapolis,midrise_apartment,91041.63081959124,0,17467.854233252274,168382.134323348,3135.0,6A,MROW,0.685,WaterCooledChiller,18.829706477681746,Bituminous Coal,180347.6144731258,1.9809356757954386,0.0004097074820673089
1622,minneapolis,outpatient_healthcare,859087.7428124285,0,164830.3015876109,1393829.6974739977,3804.0,6A,MROW,0.685,WaterCooledChiller,177.68102229833062,Bituminous Coal,1506738.4540615112,1.7538819133059025,0.00036274703480990747
1623,minneapolis,primary_school,252154.34036805455,0,48380.01277195078,493339.1059856462,6871.0,6A,MROW,0.685,WaterCooledChiller,52.15188011748801,Bituminous Coal,526479.4147344325,2.0879252523115888,0.0004318356261244237
1624,minneapolis,quick_service_restaurant,23566.730710415573,0,4521.670065638404,46017.92320506118,232.0,6A,MROW,0.685,WaterCooledChiller,4.874194562650584,Bituminous Coal,49115.26720002349,2.084093368891276,0.00043104309594442107
1625,minneapolis,secondary_school,3210837.3087884746,0,616052.6516462137,6119815.8600516375,19592.0,6A,MROW,0.685,WaterCooledChiller,664.0821734826214,Bituminous Coal,6541811.926429294,2.0374161931292853,0.00042138907820667745
1626,minneapolis,small_hotel,282436.0612098215,0,54190.06561079096,479850.5257917465,4014.0,6A,MROW,0.685,WaterCooledChiller,58.41490407648842,Bituminous Coal,516970.72073513834,1.8303991300568423,0.00037857272596832314
1627,minneapolis,small_office,14392.478470317683,0,2761.4368691716263,27638.689965989044,511.0,6A,MROW,0.685,WaterCooledChiller,2.9767277084421266,Bituminous Coal,29530.27422137161,2.0517851933753692,0.00042436095002592954
1628,minneapolis,stand_alone_retail,72166.95675186455,0,13846.433435457786,140890.99132510164,2294.0,6A,MROW,0.685,WaterCooledChiller,14.92594762189546,Bituminous Coal,150375.79822839022,2.083720929863168,0.00043096606615577413
1629,minneapolis,strip_mall,66433.46329682377,0,12746.367157883922,129892.11638639754,2090.0,6A,MROW,0.685,WaterCooledChiller,13.740116503996644,Bituminous Coal,138623.37788954802,2.086649875081489,0.00043157184593205564
1630,minneapolis,supermarket,71679.7319896904,0,13752.951244421927,140903.5230659301,4181.0,6A,MROW,0.685,WaterCooledChiller,14.82517724709212,Bituminous Coal,150324.2946683591,2.0971659700119982,0.0004337468397129262
1631,minneapolis,warehouse,14570.77077760158,0,2795.6452198624925,29683.908441097716,4835.0,6A,MROW,0.685,WaterCooledChiller,3.013603056380885,Bituminous Coal,31598.925416703525,2.1686516038861785,0.00044853187257211553
1632,phoenix,full_service_restaurant,266638.07857127185,0,51158.95934187465,772869.1885694755,569.52,2B,AZNM,0.685,WaterCooledChiller,55.14748264142127,Bituminous Coal,807913.0757186597,3.0299988660573325,0.0006266802204875558
1633,phoenix,hospital,16674461.267935596,0,3199273.3019412304,37323541.461184464,22422.0,2B,AZNM,0.685,WaterCooledChiller,3448.6993315275276,Bituminous Coal,39515043.67301421,2.3697943242700292,0.0004901332625170691
1634,phoenix,large_hotel,3981322.8122200817,0,763883.1369046175,9386394.89483183,11345.0,2B,AZNM,0.685,WaterCooledChiller,823.4380170051875,Bituminous Coal,9909654.843611494,2.489035757963477,0.0005147953997856209
1635,phoenix,large_office,8387812.171068958,0,1609341.5618890943,21791157.812908996,46320.0,2B,AZNM,0.685,WaterCooledChiller,1734.8112039439416,Bituminous Coal,22893556.782803025,2.7293835765382224,0.0005645053932860853
1636,phoenix,medium_office,838239.4245932477,0,160830.2042652922,2365247.284254462,4982.0,2B,AZNM,0.685,WaterCooledChiller,173.3690640316955,Bituminous Coal,2475415.974176187,2.953113277125295,0.0006107783406670723
1637,phoenix,midrise_apartment,365488.4260348538,0,70125.04600855404,1021589.2441586606,3135.0,2B,AZNM,0.685,WaterCooledChiller,75.59222875591598,Bituminous Coal,1069624.90067452,2.9265629893640415,0.000605287071223173
1638,phoenix,outpatient_healthcare,1924976.0250693748,0,369338.7333433127,4907766.469436773,3804.0,2B,AZNM,0.685,WaterCooledChiller,398.1336142852895,Bituminous Coal,5160763.501776942,2.6809494947299157,0.0005544880030465182
1639,phoenix,primary_school,1117634.0042763494,0,214436.71095382218,3231496.6866817595,6871.0,2B,AZNM,0.685,WaterCooledChiller,231.15491298373308,Bituminous Coal,3378385.8336851276,3.022801579728759,0.0006251916400679957
